"","subjectid","education","exposure","time","score","year","raw_score"
"1",14816,"Pre-tertiary qualification","Family and work","pre",43,"2016",43
"2",14816,"Pre-tertiary qualification","Family and work","post",46,"2016",46
"3",22154,"University degree","Family only","pre",9,"2016",9
"4",22154,"University degree","Family only","post",45,"2016",45
"5",6066,"University degree","Family and work","pre",40,"2016",40
"6",6066,"University degree","Family and work","post",46,"2016",46
"7",26725,"High school and below","Family and work","pre",32,"2016",32
"8",26725,"High school and below","Family and work","post",47,"2016",47
"9",13715,"Honours & postgraduate","Family and work","pre",50,"2016",50
"10",13715,"Honours & postgraduate","Family and work","post",48,"2016",48
"11",40044,"University degree","No exposure","pre",40,"2016",40
"12",40044,"University degree","No exposure","post",48,"2016",48
"13",37764,"High school and below","Educ and work","pre",27,"2016",27
"14",37764,"High school and below","Educ and work","post",37,"2016",37
"15",25635,"Honours & postgraduate","Educ only","pre",21,"2016",21
"16",25635,"Honours & postgraduate","Educ only","post",44,"2016",44
"17",35544,"University degree","Family only","pre",21,"2016",21
"18",35544,"University degree","Family only","post",44,"2016",44
"19",18035,"Pre-tertiary qualification","Educ, family and work","pre",41,"2016",41
"20",18035,"Pre-tertiary qualification","Educ, family and work","post",38,"2016",38
"21",31566,"Pre-tertiary qualification","No exposure","pre",25,"2016",25
"22",31566,"Pre-tertiary qualification","No exposure","post",30,"2016",30
"23",6596,"University degree","Family only","pre",24,"2016",24
"24",6596,"University degree","Family only","post",15,"2016",15
"25",20485,"Honours & postgraduate","Work only","pre",42,"2016",42
"26",20485,"Honours & postgraduate","Work only","post",43,"2016",43
"27",48414,"University degree","Family only","pre",28,"2016",28
"28",48414,"University degree","Family only","post",46,"2016",46
"29",19934,"Pre-tertiary qualification","Family and work","pre",37,"2016",37
"30",19934,"Pre-tertiary qualification","Family and work","post",42,"2016",42
"31",26663,"University degree","Work only","pre",32,"2016",32
"32",26663,"University degree","Work only","post",42,"2016",42
"33",12755,"University degree","Work only","pre",21,"2016",21
"34",12755,"University degree","Work only","post",37,"2016",37
"35",35664,"University degree","Educ only","pre",32,"2016",32
"36",35664,"University degree","Educ only","post",48,"2016",48
"37",28423,"Pre-tertiary qualification","Family only","pre",27,"2016",27
"38",28423,"Pre-tertiary qualification","Family only","post",41,"2016",41
"39",44147,"University degree","Family only","pre",30,"2016",30
"40",44147,"University degree","Family only","post",42,"2016",42
"41",5114,"University degree","Family and work","pre",32,"2016",32
"42",5114,"University degree","Family and work","post",44,"2016",44
"43",16663,"University degree","Work only","pre",46,"2016",46
"44",16663,"University degree","Work only","post",46,"2016",46
"45",22085,"Pre-tertiary qualification","No exposure","pre",38,"2016",38
"46",22085,"Pre-tertiary qualification","No exposure","post",42,"2016",42
"47",37816,"Honours & postgraduate","Educ and family","pre",18,"2016",18
"48",37816,"Honours & postgraduate","Educ and family","post",35,"2016",35
"49",25863,"Pre-tertiary qualification","Educ and work","pre",33,"2016",33
"50",25863,"Pre-tertiary qualification","Educ and work","post",43,"2016",43
"51",47116,"Pre-tertiary qualification","Family and work","pre",40,"2016",40
"52",47116,"Pre-tertiary qualification","Family and work","post",48,"2016",48
"53",5626,"University degree","Work only","pre",43,"2016",43
"54",5626,"University degree","Work only","post",50,"2016",50
"55",3435,"Pre-tertiary qualification","Work only","pre",36,"2016",36
"56",3435,"Pre-tertiary qualification","Work only","post",41,"2016",41
"57",35154,"Pre-tertiary qualification","Work only","pre",19,"2016",19
"58",35154,"Pre-tertiary qualification","Work only","post",29,"2016",29
"59",6354,"Pre-tertiary qualification","Educ and family","pre",24,"2016",24
"60",6354,"Pre-tertiary qualification","Educ and family","post",43,"2016",43
"61",43866,"University degree","Family and work","pre",16,"2016",16
"62",43866,"University degree","Family and work","post",30,"2016",30
"63",46125,"Pre-tertiary qualification","Work only","pre",30,"2016",30
"64",46125,"Pre-tertiary qualification","Work only","post",33,"2016",33
"65",41605,"University degree","Work only","pre",40,"2016",40
"66",41605,"University degree","Work only","post",48,"2016",48
"67",43324,"Honours & postgraduate","Family only","pre",48,"2016",48
"68",43324,"Honours & postgraduate","Family only","post",48,"2016",48
"69",34455,"Pre-tertiary qualification","No exposure","pre",13,"2016",13
"70",34455,"Pre-tertiary qualification","No exposure","post",35,"2016",35
"71",35115,"Pre-tertiary qualification","Educ and work","pre",38,"2016",38
"72",35115,"Pre-tertiary qualification","Educ and work","post",34,"2016",34
"73",12235,"University degree","Work only","pre",37,"2016",37
"74",12235,"University degree","Work only","post",44,"2016",44
"75",4756,"Honours & postgraduate","No exposure","pre",8,"2016",8
"76",4756,"Honours & postgraduate","No exposure","post",38,"2016",38
"77",19125,"University degree","No exposure","pre",20,"2016",20
"78",19125,"University degree","No exposure","post",44,"2016",44
"79",22114,"Pre-tertiary qualification","Family and work","pre",18,"2016",18
"80",22114,"Pre-tertiary qualification","Family and work","post",47,"2016",47
"81",38386,"Pre-tertiary qualification","Educ and work","pre",28,"2016",28
"82",38386,"Pre-tertiary qualification","Educ and work","post",40,"2016",40
"83",7755,"Honours & postgraduate","Family and work","pre",31,"2016",31
"84",7755,"Honours & postgraduate","Family and work","post",46,"2016",46
"85",38876,"Pre-tertiary qualification","Family only","pre",23,"2016",23
"86",38876,"Pre-tertiary qualification","Family only","post",42,"2016",42
"87",3285,"University degree","Family and work","pre",35,"2016",35
"88",3285,"University degree","Family and work","post",38,"2016",38
"89",18686,"Pre-tertiary qualification","No exposure","pre",39,"2016",39
"90",18686,"Pre-tertiary qualification","No exposure","post",50,"2016",50
"91",5695,"University degree","Family only","pre",21,"2016",21
"92",5695,"University degree","Family only","post",50,"2016",50
"93",32644,"Honours & postgraduate","No exposure","pre",17,"2016",17
"94",32644,"Honours & postgraduate","No exposure","post",44,"2016",44
"95",24135,"University degree","Work only","pre",35,"2016",35
"96",24135,"University degree","Work only","post",50,"2016",50
"97",4195,"University degree","Family and work","pre",28,"2016",28
"98",4195,"University degree","Family and work","post",50,"2016",50
"99",24927,"University degree","No exposure","pre",44,"2016",44
"100",24927,"University degree","No exposure","post",48,"2016",48
"101",44865,"University degree","No exposure","pre",15,"2016",15
"102",44865,"University degree","No exposure","post",38,"2016",38
"103",15005,"High school and below","No exposure","pre",34,"2016",34
"104",15005,"High school and below","No exposure","post",38,"2016",38
"105",47513,"Pre-tertiary qualification","Family and work","pre",31,"2016",31
"106",47513,"Pre-tertiary qualification","Family and work","post",39,"2016",39
"107",42017,"Pre-tertiary qualification","Work only","pre",19,"2016",19
"108",42017,"Pre-tertiary qualification","Work only","post",40,"2016",40
"109",36516,"Honours & postgraduate","Family and work","pre",36,"2016",36
"110",36516,"Honours & postgraduate","Family and work","post",48,"2016",48
"111",12014,"Honours & postgraduate","Family only","pre",17,"2016",17
"112",12014,"Honours & postgraduate","Family only","post",35,"2016",35
"113",24144,"High school and below","Work only","pre",22,"2016",22
"114",24144,"High school and below","Work only","post",41,"2016",41
"115",17316,"University degree","Work only","pre",40,"2016",40
"116",17316,"University degree","Work only","post",48,"2016",48
"117",32725,"University degree","Work only","pre",44,"2016",44
"118",32725,"University degree","Work only","post",47,"2016",47
"119",29146,"High school and below","No exposure","pre",19,"2016",19
"120",29146,"High school and below","No exposure","post",30,"2016",30
"121",19455,"University degree","No exposure","pre",6,"2016",6
"122",19455,"University degree","No exposure","post",48,"2016",48
"123",15087,"Pre-tertiary qualification","Work only","pre",39,"2016",39
"124",15087,"Pre-tertiary qualification","Work only","post",43,"2016",43
"125",1135,"High school and below","No exposure","pre",19,"2016",19
"126",1135,"High school and below","No exposure","post",40,"2016",40
"127",21544,"Pre-tertiary qualification","Educ, family and work","pre",35,"2016",35
"128",21544,"Pre-tertiary qualification","Educ, family and work","post",46,"2016",46
"129",23224,"Honours & postgraduate","Family and work","pre",41,"2016",41
"130",23224,"Honours & postgraduate","Family and work","post",44,"2016",44
"131",47173,"Pre-tertiary qualification","Educ and work","pre",31,"2016",31
"132",47173,"Pre-tertiary qualification","Educ and work","post",34,"2016",34
"133",33104,"University degree","Educ and work","pre",42,"2016",42
"134",33104,"University degree","Educ and work","post",36,"2016",36
"135",4345,"Honours & postgraduate","Family and work","pre",41,"2016",41
"136",4345,"Honours & postgraduate","Family and work","post",45,"2016",45
"137",22004,"Pre-tertiary qualification","Family and work","pre",31,"2016",31
"138",22004,"Pre-tertiary qualification","Family and work","post",44,"2016",44
"139",29395,"Pre-tertiary qualification","Work only","pre",47,"2016",47
"140",29395,"Pre-tertiary qualification","Work only","post",28,"2016",28
"141",20424,"Pre-tertiary qualification","Educ and work","pre",36,"2016",36
"142",20424,"Pre-tertiary qualification","Educ and work","post",48,"2016",48
"143",40745,"University degree","Work only","pre",38,"2016",38
"144",40745,"University degree","Work only","post",44,"2016",44
"145",6347,"University degree","Educ and work","pre",46,"2016",46
"146",6347,"University degree","Educ and work","post",50,"2016",50
"147",18946,"Pre-tertiary qualification","Educ and work","pre",35,"2016",35
"148",18946,"Pre-tertiary qualification","Educ and work","post",36,"2016",36
"149",46505,"Honours & postgraduate","Family only","pre",48,"2016",48
"150",46505,"Honours & postgraduate","Family only","post",47,"2016",47
"151",22816,"Pre-tertiary qualification","Work only","pre",25,"2016",25
"152",22816,"Pre-tertiary qualification","Work only","post",42,"2016",42
"153",39646,"University degree","Educ and work","pre",48,"2016",48
"154",39646,"University degree","Educ and work","post",50,"2016",50
"155",9815,"Pre-tertiary qualification","No exposure","pre",35,"2016",35
"156",9815,"Pre-tertiary qualification","No exposure","post",50,"2016",50
"157",5284,"University degree","Work only","pre",44,"2016",44
"158",5284,"University degree","Work only","post",37,"2016",37
"159",21835,"University degree","Family only","pre",31,"2016",31
"160",21835,"University degree","Family only","post",48,"2016",48
"161",2903,"Pre-tertiary qualification","Family and work","pre",50,"2016",50
"162",2903,"Pre-tertiary qualification","Family and work","post",50,"2016",50
"163",5425,"Honours & postgraduate","Educ and work","pre",29,"2016",29
"164",5425,"Honours & postgraduate","Educ and work","post",46,"2016",46
"165",47814,"University degree","Educ and work","pre",32,"2016",32
"166",47814,"University degree","Educ and work","post",42,"2016",42
"167",37936,"University degree","Work only","pre",30,"2016",30
"168",37936,"University degree","Work only","post",48,"2016",48
"169",32545,"Pre-tertiary qualification","Educ and work","pre",32,"2016",32
"170",32545,"Pre-tertiary qualification","Educ and work","post",36,"2016",36
"171",13103,"Honours & postgraduate","No exposure","pre",28,"2016",28
"172",13103,"Honours & postgraduate","No exposure","post",39,"2016",39
"173",11503,"University degree","Work only","pre",43,"2016",43
"174",11503,"University degree","Work only","post",35,"2016",35
"175",2224,"University degree","Work only","pre",41,"2016",41
"176",2224,"University degree","Work only","post",49,"2016",49
"177",7385,"University degree","Family and work","pre",34,"2016",34
"178",7385,"University degree","Family and work","post",47,"2016",47
"179",36184,"Honours & postgraduate","Work only","pre",43,"2016",43
"180",36184,"Honours & postgraduate","Work only","post",44,"2016",44
"181",22254,"University degree","Educ and work","pre",47,"2016",47
"182",22254,"University degree","Educ and work","post",49,"2016",49
"183",17955,"Honours & postgraduate","Educ only","pre",44,"2016",44
"184",17955,"Honours & postgraduate","Educ only","post",46,"2016",46
"185",38705,"University degree","Educ, family and work","pre",44,"2016",44
"186",38705,"University degree","Educ, family and work","post",43,"2016",43
"187",7786,"University degree","Family and work","pre",24,"2016",24
"188",7786,"University degree","Family and work","post",45,"2016",45
"189",29656,"Honours & postgraduate","Work only","pre",32,"2016",32
"190",29656,"Honours & postgraduate","Work only","post",40,"2016",40
"191",10163,"University degree","Work only","pre",36,"2016",36
"192",10163,"University degree","Work only","post",43,"2016",43
"193",15495,"Pre-tertiary qualification","Educ, family and work","pre",45,"2016",45
"194",15495,"Pre-tertiary qualification","Educ, family and work","post",46,"2016",46
"195",24885,"Pre-tertiary qualification","Work only","pre",48,"2016",48
"196",24885,"Pre-tertiary qualification","Work only","post",48,"2016",48
"197",20346,"University degree","Family only","pre",45,"2016",45
"198",20346,"University degree","Family only","post",48,"2016",48
"199",15975,"Pre-tertiary qualification","Educ, family and work","pre",46,"2016",46
"200",15975,"Pre-tertiary qualification","Educ, family and work","post",48,"2016",48
"201",6756,"Pre-tertiary qualification","Family and work","pre",21,"2016",21
"202",6756,"Pre-tertiary qualification","Family and work","post",43,"2016",43
"203",20404,"Pre-tertiary qualification","Educ, family and work","pre",48,"2016",48
"204",20404,"Pre-tertiary qualification","Educ, family and work","post",48,"2016",48
"205",34224,"High school and below","Work only","pre",42,"2016",42
"206",34224,"High school and below","Work only","post",44,"2016",44
"207",15595,"Pre-tertiary qualification","Work only","pre",48,"2016",48
"208",15595,"Pre-tertiary qualification","Work only","post",48,"2016",48
"209",2936,"Pre-tertiary qualification","Work only","pre",48,"2016",48
"210",2936,"Pre-tertiary qualification","Work only","post",48,"2016",48
"211",13794,"University degree","Work only","pre",43,"2016",43
"212",13794,"University degree","Work only","post",50,"2016",50
"213",37906,"Honours & postgraduate","Work only","pre",25,"2016",25
"214",37906,"Honours & postgraduate","Work only","post",38,"2016",38
"215",42534,"Pre-tertiary qualification","Educ and work","pre",37,"2016",37
"216",42534,"Pre-tertiary qualification","Educ and work","post",41,"2016",41
"217",13354,"High school and below","Educ and work","pre",41,"2016",41
"218",13354,"High school and below","Educ and work","post",46,"2016",46
"219",9537,"Honours & postgraduate","Work only","pre",44,"2016",44
"220",9537,"Honours & postgraduate","Work only","post",43,"2016",43
"221",36765,"Pre-tertiary qualification","Educ only","pre",23,"2016",23
"222",36765,"Pre-tertiary qualification","Educ only","post",42,"2016",42
"223",2636,"Honours & postgraduate","Family and work","pre",37,"2016",37
"224",2636,"Honours & postgraduate","Family and work","post",44,"2016",44
"225",1406,"University degree","Educ and work","pre",50,"2016",50
"226",1406,"University degree","Educ and work","post",50,"2016",50
"227",39637,"University degree","Educ and work","pre",46,"2016",46
"228",39637,"University degree","Educ and work","post",50,"2016",50
"229",20924,"Pre-tertiary qualification","Educ, family and work","pre",45,"2016",45
"230",20924,"Pre-tertiary qualification","Educ, family and work","post",43,"2016",43
"231",24593,"Honours & postgraduate","Work only","pre",26,"2016",26
"232",24593,"Honours & postgraduate","Work only","post",50,"2016",50
"233",48395,"Honours & postgraduate","Work only","pre",38,"2016",38
"234",48395,"Honours & postgraduate","Work only","post",47,"2016",47
"235",10113,"University degree","Work only","pre",34,"2016",34
"236",10113,"University degree","Work only","post",50,"2016",50
"237",43055,"Pre-tertiary qualification","Educ and work","pre",48,"2016",48
"238",43055,"Pre-tertiary qualification","Educ and work","post",46,"2016",46
"239",42668,"High school and below","Family only","pre",44,"2016",44
"240",42668,"High school and below","Family only","post",48,"2016",48
"241",22884,"University degree","Educ and work","pre",46,"2016",46
"242",22884,"University degree","Educ and work","post",50,"2016",50
"243",15216,"University degree","Work only","pre",41,"2016",41
"244",15216,"University degree","Work only","post",50,"2016",50
"245",595,"University degree","Work only","pre",42,"2016",42
"246",595,"University degree","Work only","post",42,"2016",42
"247",36914,"University degree","Educ and work","pre",44,"2016",44
"248",36914,"University degree","Educ and work","post",48,"2016",48
"249",26103,"Honours & postgraduate","Educ and work","pre",41,"2016",41
"250",26103,"Honours & postgraduate","Educ and work","post",39,"2016",39
"251",16933,"University degree","Family and work","pre",40,"2016",40
"252",16933,"University degree","Family and work","post",44,"2016",44
"253",35396,"High school and below","Work only","pre",36,"2016",36
"254",35396,"High school and below","Work only","post",44,"2016",44
"255",27407,"University degree","Educ and work","pre",47,"2016",47
"256",27407,"University degree","Educ and work","post",50,"2016",50
"257",43696,"Pre-tertiary qualification","Educ and work","pre",50,"2016",50
"258",43696,"Pre-tertiary qualification","Educ and work","post",50,"2016",50
"259",34774,"High school and below","Educ and work","pre",42,"2016",42
"260",34774,"High school and below","Educ and work","post",44,"2016",44
"261",40704,"University degree","Educ and work","pre",50,"2016",50
"262",40704,"University degree","Educ and work","post",50,"2016",50
